Date,Price
2023/12/21,102.550003
2023/12/22,103.150002
2023/12/26,104.449997
2023/12/27,104.650002
2023/12/28,104.699997
2023/12/29,104
2024/1/2,101.529999
2024/1/3,100.169998
2024/1/4,99.129997
2024/1/5,99.610001
2024/1/8,102.239998
2024/1/9,101.889999
2024/1/10,100.800003
2024/1/11,101.220001
2024/1/12,101.239998
2024/1/16,101.669998
2024/1/17,102.949997
2024/1/18,113.029999
2024/1/19,114.199997
2024/1/22,113.029999
2024/1/23,114.129997
2024/1/24,116.519997
2024/1/25,116.559998
2024/1/26,117.260002
2024/1/29,116.980003
2024/1/30,116.059998
2024/1/31,112.959999
2024/2/1,113.389999
2024/2/2,115.75
2024/2/5,118.790001
2024/2/6,119.379997
2024/2/7,124.980003
2024/2/8,133.729996
2024/2/9,133.110001
2024/2/12,130.460007
2024/2/13,127.550003
2024/2/14,129.270004
2024/2/15,129.029999
2024/2/16,126.690002
